lat,lon,r1h
22.600000381469727,139.0,0.14648438
22.600000381469727,139.125,0.14648438
22.600000381469727,139.25,0.14648438
22.600000381469727,139.375,0.14648438
22.600000381469727,139.5,0.14648438
22.600000381469727,139.625,0.14648438
22.600000381469727,139.75,0.14648438
22.600000381469727,139.875,0.14648438
22.600000381469727,140.0,0.14648438
22.600000381469727,140.125,0.14648438
22.600000381469727,140.25,0.14648438
22.600000381469727,140.375,0.14648438
22.600000381469727,140.5,0.14648438
22.600000381469727,140.625,0.14648438
22.600000381469727,140.75,0.14648438
22.600000381469727,140.875,0.14648438
22.600000381469727,141.0,0.14648438
22.600000381469727,141.125,0.14648438
22.600000381469727,141.25,0.14648438
22.600000381469727,141.375,0.14648438
22.600000381469727,141.5,0.14648438
22.600000381469727,141.625,0.14648438
22.600000381469727,141.75,0.14648438
22.600000381469727,141.875,0.14648438
22.600000381469727,142.0,0.14648438
22.600000381469727,142.125,0.14648438
22.600000381469727,142.25,0.14648438
22.600000381469727,142.375,0.14648438
22.600000381469727,142.5,0.14648438
22.600000381469727,142.625,0.14648438
22.600000381469727,142.75,0.14648438
22.600000381469727,142.875,0.14648438
22.600000381469727,143.0,0.14648438
22.600000381469727,143.125,0.14648438
22.600000381469727,143.25,0.14648438
22.600000381469727,143.375,0.14648438
22.600000381469727,143.5,0.14648438
22.600000381469727,143.625,0.14648438
22.600000381469727,143.75,0.14648438
22.600000381469727,143.875,0.14648438
22.600000381469727,144.0,0.14648438
22.600000381469727,144.125,0.14648438
22.600000381469727,144.25,0.14648438
22.600000381469727,144.375,0.14648438
22.600000381469727,144.5,0.14648438
22.600000381469727,144.625,0.14648438
22.600000381469727,144.75,0.14648438
22.600000381469727,144.875,0.14648438
22.600000381469727,145.0,0.14648438
22.600000381469727,145.125,0.14648438
22.600000381469727,145.25,0.14648438
22.600000381469727,145.375,0.14648438
22.600000381469727,145.5,0.14648438
22.600000381469727,145.625,0.14648438
22.600000381469727,145.75,0.14648438
22.600000381469727,145.875,0.14648438
22.600000381469727,146.0,0.14648438
22.600000381469727,146.125,0.14648438
22.600000381469727,146.25,0.14648438
22.600000381469727,146.375,0.14648438
22.600000381469727,146.5,0.14648438
22.600000381469727,146.625,0.14648438
22.600000381469727,146.75,0.14648438
22.600000381469727,146.875,0.14648438
22.600000381469727,147.0,0.14648438
22.600000381469727,147.125,0.14648438
22.600000381469727,147.25,0.14648438
22.600000381469727,147.375,0.14648438
22.600000381469727,147.5,0.14648438
22.600000381469727,147.625,0.14648438
22.600000381469727,147.75,0.14648438
22.600000381469727,147.875,0.15260315
22.600000381469727,148.0,0.15872192
22.600000381469727,148.125,0.15872192
22.600000381469727,148.25,0.1648407
22.600000381469727,148.375,0.15872192
22.600000381469727,148.5,0.15872192
22.600000381469727,148.625,0.1648407
22.600000381469727,148.75,0.17095947
22.600000381469727,148.875,0.17707825
22.600000381469727,149.0,0.18319702
22.600000381469727,149.125,0.1893158
22.600000381469727,149.25,0.17707825
22.600000381469727,149.375,0.17707825
22.600000381469727,149.5,0.18319702
22.600000381469727,149.625,0.17707825
22.600000381469727,149.75,0.18319702
22.600000381469727,149.875,0.18319702
22.700000762939453,120.0,0.14648438
22.700000762939453,120.125,0.14648438
22.700000762939453,120.25,0.14648438
22.700000762939453,120.375,0.14648438
22.700000762939453,120.5,0.14648438
22.700000762939453,120.625,0.95384216
22.700000762939453,120.75,12.342239
22.700000762939453,120.875,22.134293
22.700000762939453,121.0,0.6235504
22.700000762939453,121.125,0.14648438
22.700000762939453,121.25,0.14648438
22.700000762939453,121.375,0.14648438
22.700000762939453,121.5,0.14648438
22.700000762939453,121.625,0.14648438
22.700000762939453,121.75,0.14648438
22.700000762939453,121.875,0.14648438
22.700000762939453,122.0,0.14648438
22.700000762939453,122.125,0.14648438
22.700000762939453,122.25,0.14648438
22.700000762939453,122.375,0.30551147
22.700000762939453,122.5,1.1312408
22.700000762939453,122.625,2.195465
22.700000762939453,122.75,3.1557312
22.700000762939453,122.875,4.134323
22.700000762939453,123.0,6.274994
22.700000762939453,123.125,9.987549
22.700000762939453,123.25,14.593048
22.700000762939453,123.375,18.140457
22.700000762939453,123.5,20.538025
22.700000762939453,123.625,19.632843
22.700000762939453,123.75,17.93863
22.700000762939453,123.875,18.641998
22.700000762939453,124.0,19.773499
22.700000762939453,124.125,19.363708
22.700000762939453,124.25,18.80101
22.700000762939453,124.375,17.559448
22.700000762939453,124.5,17.271973
22.700000762939453,124.625,17.327026
22.700000762939453,124.75,18.097656
22.700000762939453,124.875,18.697098
22.700000762939453,125.0,18.489151
22.700000762939453,125.125,18.005905
22.700000762939453,125.25,16.305618
22.700000762939453,125.375,15.486053
22.700000762939453,125.5,16.617554
22.700000762939453,125.625,18.94783
22.700000762939453,125.75,22.880554
22.700000762939453,125.875,25.96312
22.700000762939453,126.0,30.75821
22.700000762939453,126.125,33.369827
22.700000762939453,126.25,33.571655
22.700000762939453,126.375,33.039566
22.700000762939453,126.5,32.53807
22.700000762939453,126.625,31.363708
22.700000762939453,126.75,31.27806
22.700000762939453,126.875,33.30255
22.700000762939453,127.0,37.449356
22.700000762939453,127.125,43.241425
22.700000762939453,127.25,49.54721
22.700000762939453,127.375,55.05789
22.700000762939453,127.5,58.801025
22.700000762939453,127.625,61.590027
22.700000762939453,127.75,62.482986
22.700000762939453,127.875,61.180267
22.700000762939453,128.0,57.755157
22.700000762939453,128.125,52.819397
22.700000762939453,128.25,48.116043
22.700000762939453,128.375,43.76126
22.700000762939453,128.5,40.226105
22.700000762939453,128.625,37.021225
22.700000762939453,128.75,34.07321
22.700000762939453,128.875,31.675644
22.700000762939453,129.0,29.241394
22.700000762939453,129.125,26.483002
22.700000762939453,129.25,23.492142
22.700000762939453,129.375,20.189407
22.700000762939453,129.5,16.727646
22.700000762939453,129.625,13.461563
22.700000762939453,129.75,10.764328
22.700000762939453,129.875,9.18634
22.700000762939453,130.0,8.07933
22.700000762939453,130.125,7.064026
22.700000762939453,130.25,5.8652344
22.700000762939453,130.375,4.666458
22.700000762939453,130.5,3.6022186
22.700000762939453,130.625,2.6848145
22.700000762939453,130.75,2.0364532
22.700000762939453,130.875,1.632782
22.700000762939453,131.0,1.3453369
22.700000762939453,131.125,1.100708
22.700000762939453,131.25,0.9049835
22.700000762939453,131.375,0.77653503
22.700000762939453,131.5,0.64808655
22.700000762939453,131.625,0.5379791
22.700000762939453,131.75,0.4890747
22.700000762939453,131.875,0.46461487
22.700000762939453,132.0,0.44625854
22.700000762939453,132.125,0.42790222
22.700000762939453,132.25,0.4095459
22.700000762939453,132.375,0.38508606
22.700000762939453,132.5,0.34228516
22.700000762939453,132.625,0.31781006
22.700000762939453,132.75,0.3055725
22.700000762939453,132.875,0.2810974
22.700000762939453,133.0,0.2566223
22.700000762939453,133.125,0.23826599
22.700000762939453,133.25,0.20155334
22.700000762939453,133.375,0.1893158
22.700000762939453,133.5,0.1893158
22.700000762939453,133.625,0.18319702
22.700000762939453,133.75,0.15260315
22.700000762939453,133.875,0.15872192
22.700000762939453,134.0,0.1648407
22.700000762939453,134.125,0.1648407
22.700000762939453,134.25,0.15872192
22.700000762939453,134.375,0.15872192
22.700000762939453,134.5,0.15872192
22.700000762939453,134.625,0.15260315
22.700000762939453,134.75,0.14648438
22.700000762939453,134.875,0.15260315
22.700000762939453,135.0,0.15260315
22.700000762939453,135.125,0.14648438
22.700000762939453,135.25,0.14648438
22.700000762939453,135.375,0.14648438
22.700000762939453,135.5,0.14648438
22.700000762939453,135.625,0.14648438
22.700000762939453,135.75,0.14648438
22.700000762939453,135.875,0.14648438
22.700000762939453,136.0,0.14648438
22.700000762939453,136.125,0.14648438
22.700000762939453,136.25,0.14648438
22.700000762939453,136.375,0.14648438
22.700000762939453,136.5,0.14648438
22.700000762939453,136.625,0.14648438
22.700000762939453,136.75,0.14648438
22.700000762939453,136.875,0.14648438
22.700000762939453,137.0,0.14648438
22.700000762939453,137.125,0.14648438
22.700000762939453,137.25,0.14648438
22.700000762939453,137.375,0.14648438
22.700000762939453,137.5,0.14648438
22.700000762939453,137.625,0.14648438
22.700000762939453,137.75,0.14648438
22.700000762939453,137.875,0.14648438
22.700000762939453,138.0,0.14648438
22.700000762939453,138.125,0.14648438
22.700000762939453,138.25,0.14648438
22.700000762939453,138.375,0.14648438
22.700000762939453,138.5,0.14648438
22.700000762939453,138.625,0.14648438
22.700000762939453,138.75,0.14648438
22.700000762939453,138.875,0.14648438
22.700000762939453,139.0,0.14648438
22.700000762939453,139.125,0.14648438
22.700000762939453,139.25,0.14648438
22.700000762939453,139.375,0.14648438
22.700000762939453,139.5,0.14648438
22.700000762939453,139.625,0.14648438
22.700000762939453,139.75,0.14648438
22.700000762939453,139.875,0.14648438
22.700000762939453,140.0,0.14648438
22.700000762939453,140.125,0.14648438
22.700000762939453,140.25,0.14648438
22.700000762939453,140.375,0.14648438
22.700000762939453,140.5,0.14648438
22.700000762939453,140.625,0.14648438
22.700000762939453,140.75,0.14648438
22.700000762939453,140.875,0.14648438
22.700000762939453,141.0,0.14648438
22.700000762939453,141.125,0.14648438
22.700000762939453,141.25,0.14648438
22.700000762939453,141.375,0.14648438
22.700000762939453,141.5,0.14648438
22.700000762939453,141.625,0.14648438
22.700000762939453,141.75,0.14648438
22.700000762939453,141.875,0.14648438
22.700000762939453,142.0,0.14648438
22.700000762939453,142.125,0.14648438
22.700000762939453,142.25,0.14648438
22.700000762939453,142.375,0.14648438
22.700000762939453,142.5,0.14648438
22.700000762939453,142.625,0.14648438
22.700000762939453,142.75,0.14648438
22.700000762939453,142.875,0.14648438
22.700000762939453,143.0,0.14648438
22.700000762939453,143.125,0.15872192
22.700000762939453,143.25,0.15872192
22.700000762939453,143.375,0.1648407
22.700000762939453,143.5,0.1648407
22.700000762939453,143.625,0.17707825
22.700000762939453,143.75,0.17095947
22.700000762939453,143.875,0.17095947
22.700000762939453,144.0,0.17707825
22.700000762939453,144.125,0.1648407
22.700000762939453,144.25,0.1648407
22.700000762939453,144.375,0.15872192
22.700000762939453,144.5,0.15260315
22.700000762939453,144.625,0.14648438
22.700000762939453,144.75,0.14648438
22.700000762939453,144.875,0.14648438
22.700000762939453,145.0,0.14648438
22.700000762939453,145.125,0.14648438
22.700000762939453,145.25,0.14648438
22.700000762939453,145.375,0.14648438
22.700000762939453,145.5,0.14648438
22.700000762939453,145.625,0.14648438
22.700000762939453,145.75,0.14648438
22.700000762939453,145.875,0.14648438
22.700000762939453,146.0,0.14648438
22.700000762939453,146.125,0.14648438
22.700000762939453,146.25,0.14648438
22.700000762939453,146.375,0.14648438
22.700000762939453,146.5,0.14648438
22.700000762939453,146.625,0.14648438
22.700000762939453,146.75,0.14648438
22.700000762939453,146.875,0.14648438
22.700000762939453,147.0,0.14648438
22.700000762939453,147.125,0.14648438
22.700000762939453,147.25,0.14648438
22.700000762939453,147.375,0.15260315
22.700000762939453,147.5,0.15260315
22.700000762939453,147.625,0.14648438
22.700000762939453,147.75,0.15260315
22.700000762939453,147.875,0.15260315
22.700000762939453,148.0,0.1648407
22.700000762939453,148.125,0.1648407
22.700000762939453,148.25,0.17095947
22.700000762939453,148.375,0.17095947
22.700000762939453,148.5,0.1648407
22.700000762939453,148.625,0.1648407
22.700000762939453,148.75,0.18319702
22.700000762939453,148.875,0.1893158
22.700000762939453,149.0,0.20155334
22.700000762939453,149.125,0.20767212
22.700000762939453,149.25,0.20155334
22.700000762939453,149.375,0.19543457
22.700000762939453,149.5,0.2137909
22.700000762939453,149.625,0.2137909
22.700000762939453,149.75,0.20155334
22.700000762939453,149.875,0.20767212
22.799999237060547,120.0,0.14648438
22.799999237060547,120.125,0.14648438
22.799999237060547,120.25,0.14648438
22.799999237060547,120.375,0.14648438
22.799999237060547,120.5,0.14648438
22.799999237060547,120.625,0.7886963
22.799999237060547,120.75,11.155701
22.799999237060547,120.875,25.58995
22.799999237060547,121.0,2.464569
22.799999237060547,121.125,0.14648438
22.799999237060547,121.25,0.14648438
22.799999237060547,121.375,0.14648438
22.799999237060547,121.5,0.14648438
22.799999237060547,121.625,0.14648438
22.799999237060547,121.75,0.14648438
22.799999237060547,121.875,0.14648438
22.799999237060547,122.0,0.14648438
22.799999237060547,122.125,0.14648438
22.799999237060547,122.25,0.14648438
22.799999237060547,122.375,0.2688141
22.799999237060547,122.5,1.0150299
22.799999237060547,122.625,1.8835449
22.799999237060547,122.75,2.7214813
22.799999237060547,122.875,3.0517578
22.799999237060547,123.0,3.9508514
22.799999237060547,123.125,6.1343384
22.799999237060547,123.25,9.167969
22.799999237060547,123.375,12.109848
22.799999237060547,123.5,15.161865
22.799999237060547,123.625,16.470749
22.799999237060547,123.75,16.183258
22.799999237060547,123.875,17.761246
22.799999237060547,124.0,20.122131
22.799999237060547,124.125,20.654236
22.799999237060547,124.25,19.761261
22.799999237060547,124.375,18.17717
22.799999237060547,124.5,16.99675
22.799999237060547,124.625,16.978378
22.799999237060547,124.75,17.76738
22.799999237060547,124.875,18.917236
22.799999237060547,125.0,19.88971
22.799999237060547,125.125,20.207764
22.799999237060547,125.25,18.898895
22.799999237060547,125.375,17.608368
22.799999237060547,125.5,18.054855
22.799999237060547,125.625,19.57779
22.799999237060547,125.75,20.19551
22.799999237060547,125.875,20.018158
22.799999237060547,126.0,21.394302
22.799999237060547,126.125,22.776566
22.799999237060547,126.25,24.92334
22.799999237060547,126.375,26.837738
22.799999237060547,126.5,27.834686
22.799999237060547,126.625,29.626724
22.799999237060547,126.75,32.65428
22.799999237060547,126.875,36.935577
22.799999237060547,127.0,42.25058
22.799999237060547,127.125,48.476852
22.799999237060547,127.25,55.16191
22.799999237060547,127.375,61.174133
22.799999237060547,127.5,64.62363
22.799999237060547,127.625,66.58081
22.799999237060547,127.75,66.63591
22.799999237060547,127.875,64.24446
22.799999237060547,128.0,60.18329
22.799999237060547,128.125,54.403473
22.799999237060547,128.25,49.29033
22.799999237060547,128.375,44.697083
22.799999237060547,128.5,41.06407
22.799999237060547,128.625,38.22
22.799999237060547,128.75,36.018143
22.799999237060547,128.875,33.840805
22.799999237060547,129.0,31.461578
22.799999237060547,129.125,28.519653
22.799999237060547,129.25,25.290344
22.799999237060547,129.375,21.534973
22.799999237060547,129.5,17.638931
22.799999237060547,129.625,14.262802
22.799999237060547,129.75,11.804092
22.799999237060547,129.875,10.293396
22.799999237060547,130.0,8.929489
22.799999237060547,130.125,7.6756287
22.799999237060547,130.25,6.195526
22.799999237060547,130.375,4.7520905
22.799999237060547,130.5,3.6328125
22.799999237060547,130.625,2.8132324
22.799999237060547,130.75,2.281128
22.799999237060547,130.875,1.8774872
22.799999237060547,131.0,1.5655365
22.799999237060547,131.125,1.3759003
22.799999237060547,131.25,1.1741028
22.799999237060547,131.375,1.0150757
22.799999237060547,131.5,0.892746
22.799999237060547,131.625,0.8010254
22.799999237060547,131.75,0.75819397
22.799999237060547,131.875,0.7153778
22.799999237060547,132.0,0.6909027
22.799999237060547,132.125,0.6481018
22.799999237060547,132.25,0.59916687
22.799999237060547,132.375,0.5502014
22.799999237060547,132.5,0.5318451
22.799999237060547,132.625,0.47680664
22.799999237060547,132.75,0.4462433
22.799999237060547,132.875,0.37898254
22.799999237060547,133.0,0.3422699
22.799999237060547,133.125,0.29943848
22.799999237060547,133.25,0.2810974
22.799999237060547,133.375,0.24438477
22.799999237060547,133.5,0.21990967
22.799999237060547,133.625,0.2137909
22.799999237060547,133.75,0.21990967
22.799999237060547,133.875,0.22602844
22.799999237060547,134.0,0.23826599
22.799999237060547,134.125,0.2137909
22.799999237060547,134.25,0.21990967
22.799999237060547,134.375,0.20767212
22.799999237060547,134.5,0.20767212
22.799999237060547,134.625,0.1893158
22.799999237060547,134.75,0.18319702
22.799999237060547,134.875,0.18319702
22.799999237060547,135.0,0.17707825
22.799999237060547,135.125,0.17095947
22.799999237060547,135.25,0.15872192
